"","-0.2","-0.19","-0.18","-0.17","-0.16","-0.15","-0.14","-0.13","-0.12","-0.11","-0.1","-0.09","-0.08","-0.07","-0.06","-0.05","-0.04","-0.03","-0.02","-0.01","0","0.00999999999999998","0.02","0.03","0.04","0.05","0.06","0.07","0.08","0.09","0.1","0.11","0.12","0.13","0.14","0.15","0.16","0.17","0.18","0.19","0.2"
"10",1.49426425925284e-21,2.21938646590108e-30,8.06696391187881e-27,8.07036769908314e-23,1.12866009389653e-18,7.49878013311916e-22,1.29036627278192e-18,7.90071377958324e-16,1.84941604559798e-17,1.08940070597882e-14,1.89969926681678e-10,1.00206827553846e-09,9.1939708882461e-12,3.52771183699881e-08,4.40765500327129e-08,0.00181037964607214,5.34607797592114e-05,0.0205331102340935,0.0928958738322716,0.109392699763384,0.262910129160064,0.0644229458477374,0.0170856656379044,0.0427110696749953,0.000270960985745325,1.55074998753906e-09,9.48378608910174e-06,9.13121366536895e-12,2.75217883866929e-10,2.91757702192428e-10,1.6220151172278e-15,1.97191379186858e-17,1.03900407590914e-17,7.73861710792594e-20,2.05763162059e-24,1.20562014997333e-22,3.74344439870963e-24,2.21650037772318e-26,1.17261118354032e-31,2.34993596901721e-30,5.72329344899047e-28
"11",8.26572532638472e-26,1.74258640862011e-23,6.42720363495007e-22,1.96747079088317e-22,6.77006509210068e-19,1.84765912544119e-23,2.47136192962672e-22,5.47429157482591e-22,5.81691296030048e-16,3.87681734240555e-15,7.20593441842882e-11,1.3851847028429e-11,1.22958929577079e-08,1.3381997160406e-10,3.74115686412422e-07,0.000483010884893719,6.36363598738493e-05,0.00179482413011321,0.00745693474862467,0.72855117192268,0.0409906724977058,0.355338495822281,0.000958223138394687,0.0235357649920968,0.00455860223003333,4.09415639984063e-05,4.72407789486514e-05,3.99973005554501e-15,3.76890877168419e-12,9.52212852334371e-13,1.15250215859103e-18,4.45245478305801e-15,5.20863156425505e-15,1.42580577946157e-21,1.0064423115667e-21,1.37979318857665e-25,7.4561754610001e-26,2.19949730366743e-23,7.41256008816686e-31,1.37071549965361e-36,1.04395177764004e-30
"12",1.75831691343035e-27,8.37780083447347e-25,1.92084117030652e-21,3.09262998630721e-27,2.01815157098709e-22,4.64265804625464e-21,1.62356254146438e-18,2.57878876894032e-14,2.83188251727833e-17,3.28654882996426e-14,2.06766909157701e-13,8.87462795145724e-14,1.14733299641435e-08,3.55163943142307e-06,3.63369956747738e-06,6.86195170210413e-05,0.00024814312662189,0.000366846170085261,0.0482938778237144,0.00129311946144847,0.753235872385033,0.0123328696906123,0.0878434119670637,0.001008240916371,7.24584501527514e-08,7.78922243734129e-06,3.4607309052323e-06,1.28436494655154e-07,1.17019571029786e-11,1.25316300967709e-17,1.06373234636319e-18,4.49600014841574e-12,4.78952379607106e-16,5.86087552077845e-18,4.04064366823004e-23,1.90899695016711e-20,2.12765589267372e-22,1.35241898717549e-24,8.1904981106238e-37,1.64467593721671e-30,1.13127819686707e-30
"13",6.34953158341831e-25,9.22277577342721e-28,9.03715812077031e-30,1.06153972140774e-23,5.62770851350638e-23,4.67735139641429e-24,2.47802614475506e-23,1.21702570427497e-15,1.8950706421853e-17,7.76945815243273e-15,2.89428673210591e-17,1.73640011028399e-11,5.86487756852417e-09,3.9058698819871e-07,3.16726655382228e-10,2.93405541242713e-07,0.000418742704309876,0.207260562301547,0.000117256559309582,0.28973690846569,0.45470297751178,0.736259288905646,0.00206058420354398,0.04045553710034,3.88553263700577e-05,0.00281061264389383,7.10342299041221e-07,2.92988202808748e-08,1.45746885308827e-13,7.4368457391758e-12,3.17111189877494e-20,1.49632393742755e-16,3.86991745264115e-17,5.05355152000118e-20,1.37518235855356e-26,1.30904506553369e-27,1.27051161923127e-32,1.13070334811095e-31,1.97832685021244e-26,4.94291816867546e-31,3.89442443271556e-31
"14",8.50628059758476e-26,3.58502272875323e-34,7.21090553120992e-26,5.67324588838914e-23,3.0170604123765e-27,1.9822947331891e-20,5.67210520048224e-20,2.29397815516211e-15,1.6987125869084e-20,3.13979145500379e-14,9.4283054441385e-13,6.47512042514722e-08,1.38874526789548e-08,2.50914685873711e-08,1.30032562282665e-06,0.0003643871699199,4.08202758199103e-07,0.117126151616893,0.118878998913507,0.500315460768007,0.469236072020371,0.452465779514883,0.00215992460181495,0.00141307385971386,0.0312518497204063,1.69197880923122e-08,5.74034452728134e-13,4.15485518384904e-14,8.31785762080708e-10,1.60335632857082e-13,7.40794446279912e-14,1.01479045326477e-15,4.772380662857e-19,2.82681523130326e-22,9.54207438947698e-19,1.17808522616637e-28,1.20935762909466e-30,2.91933596083836e-25,1.7154991124361e-27,6.54357102571878e-33,1.70159546327795e-28
"15",8.53695581295185e-28,9.08426434960428e-27,5.0124003144571e-19,7.97409339069827e-26,5.15847936115848e-23,6.38585733121724e-17,1.90862735388996e-17,1.55687877437115e-14,1.53971502682992e-15,3.04655166704969e-13,1.60740509910189e-14,9.08679733102348e-13,1.37948174569578e-09,5.43498130759763e-16,1.83865417482752e-08,7.87162106550586e-05,3.15152596159477e-07,0.0834464092472718,0.345820733959834,0.245308885018615,0.0333381895997035,0.338749725121542,0.0759663341670239,0.0397375377767963,0.00806951411233222,6.79418431636992e-05,1.28944017084066e-10,3.80488137023529e-08,3.68807111672299e-13,4.42646572974927e-16,1.39256349176067e-18,4.35385829067828e-15,3.96195915836461e-22,2.59969112759669e-19,8.68299990501599e-20,1.67869281688538e-22,5.26683424365295e-29,5.26244043706064e-28,7.50411527338158e-31,5.51059118859694e-31,1.53961344372702e-28
"16",5.07566132448524e-30,5.99010561857631e-26,2.24751925773781e-21,3.06009107097588e-24,1.76628004186455e-18,4.97841561838396e-24,8.55020927575404e-19,1.43367036001186e-17,5.98081760204476e-16,4.50848941774529e-15,5.6816559763599e-10,1.94345475120609e-09,4.38933588188458e-14,6.86351372599152e-09,3.87984689891975e-08,1.96177981309282e-08,0.000218044616148867,0.00976230822236956,0.164178022439347,0.53637722770788,0.645644106036672,0.0498933981262591,0.0291678136228473,6.29328745165449e-06,1.45722521155314e-05,0.000406245476702333,5.04057183850065e-08,4.56330179685816e-14,5.50398164296307e-11,1.06613780289841e-13,1.96555289575573e-15,1.25537224275434e-17,4.11549985254071e-23,3.4560838420936e-19,1.69315597761037e-19,3.22329192999555e-29,5.29120255725247e-29,2.68678893724354e-28,1.77915819647135e-25,4.75761104502905e-32,1.80603598242791e-32
"17",2.09157486908809e-26,1.23307155807842e-28,8.94239680117753e-21,2.14454683593314e-29,5.12951396550244e-21,2.50125047787671e-18,1.87704712772525e-20,6.45346820451101e-16,8.441569154045e-17,1.2617306891367e-15,1.80657321964644e-13,8.76437539301806e-19,4.79482852858153e-09,6.21028061206363e-07,1.50360996003576e-07,0.000425678289623009,1.45242534835278e-05,0.209859148211107,2.07931399028156e-05,0.911446756346738,0.546575212510691,0.0149758348825829,0.159433408727675,0.0574065673739065,0.000248186919786999,1.66020031445143e-07,4.49715200988804e-06,1.92642236490052e-07,2.72217049961283e-10,1.03168201155282e-14,1.68306068357748e-14,2.88889409376467e-22,3.3932695368488e-16,4.67539368891796e-22,1.01894802890885e-24,4.72165932853338e-24,1.44899383301473e-26,3.04194337890627e-32,2.34077109268499e-27,1.43977198406583e-30,8.37636368278949e-30
"18",5.08799872729212e-24,8.77676786862047e-24,2.81815529924494e-22,7.8413112946926e-22,4.52118130238068e-23,9.19561838931259e-24,2.92792856265779e-22,2.05374763009362e-18,6.33985599189771e-13,1.75677306642864e-18,1.68115342699553e-15,1.16355241391214e-15,1.52248774280148e-10,2.08615855341926e-14,4.55646970851363e-12,0.000434044981679014,0.000449855827497437,0.0232211802572312,0.00790740917168779,0.672301410395636,0.512417547510984,0.0311498929789097,0.144980996481285,0.0970939768565598,3.45713948907096e-05,4.96899663839133e-07,2.25765390391331e-06,3.08041605046353e-10,3.10680521719561e-09,4.0874841199324e-12,1.367372135513e-20,7.56111229433238e-15,2.73443118570129e-20,1.1468322860214e-19,1.72966832425885e-20,7.7400768225818e-20,2.5197237011962e-23,1.49267699864517e-23,3.32512159954165e-26,9.97327019305346e-25,9.32499738159622e-32
"19",5.80471130867045e-30,3.07190803803417e-21,1.60013561846339e-28,2.78894298025917e-24,9.2514700260734e-25,3.07926686961787e-22,5.90194182945226e-17,7.86969672946035e-18,6.99096990821219e-18,3.23313677905924e-12,2.8478296829872e-14,4.37160511770101e-17,1.51120263271908e-08,4.81487758156402e-07,8.17330192770095e-07,1.05565729672985e-05,0.000156227279592227,0.00122772964693013,0.0124614063861123,0.706861803991186,0.606295646104256,0.0374423615932524,0.550759634549665,0.0120024312740305,0.00570450468411338,0.000228602800732563,1.05303349810929e-06,9.14349447778265e-09,5.6150726280911e-14,1.74562469361477e-11,1.89490800822071e-15,1.36249641281601e-14,1.73569503949153e-27,3.6376105890364e-25,1.57688951978654e-22,1.1831288720408e-22,2.31079684994717e-25,1.40381901927275e-29,4.19780448927199e-28,1.23194239205878e-34,9.30762141157912e-26
