"analyte","NRM","scenario","parameter_groups","signif","no_terms"
"SS_QAQC","russ_mull","Pre-2015-S2","Intercept",0,1
"SS_QAQC","russ_mull","Pre-2015-S2","Seasonal",0,2
"SS_QAQC","russ_mull","Pre-2015-S2","Sites",0,2
"SS_QAQC","russ_mull","Pre-2015-S2","Trend",0,1
"SS_QAQC","russ_mull","Pre-2015-S3","Intercept",0,1
"SS_QAQC","russ_mull","Pre-2015-S3","Seasonal",0,2
"SS_QAQC","russ_mull","Pre-2015-S3","Sites",0,2
"SS_QAQC","russ_mull","Pre-2015-S3","Trend",0,1
"SS_QAQC","tully","Post-2015","Intercept",2,2
"SS_QAQC","tully","Post-2015","Seasonal",1,2
"SS_QAQC","tully","Post-2015","Sites",5,5
"SS_QAQC","tully","Post-2015","Trend",0,1
"SS_QAQC","tully","Pre-2015","Intercept",0,1
"SS_QAQC","tully","Pre-2015","Seasonal",0,2
"SS_QAQC","tully","Pre-2015","Trend",0,1
"SS_QAQC","tully","Pre-2015-S1","Intercept",0,1
"SS_QAQC","tully","Pre-2015-S1","Seasonal",0,2
"SS_QAQC","tully","Pre-2015-S1","Trend",0,1
"SS_QAQC","tully","Pre-2015-S2","Intercept",0,1
"SS_QAQC","tully","Pre-2015-S2","Seasonal",0,2
"SS_QAQC","tully","Pre-2015-S2","Trend",0,1
"SS_QAQC","tully","Pre-2015-S3","Intercept",0,1
"SS_QAQC","tully","Pre-2015-S3","Seasonal",0,2
"SS_QAQC","tully","Pre-2015-S3","Trend",0,1
"SS_QAQC","wtsndys","Post-2015","Intercept",0,1
"SS_QAQC","wtsndys","Post-2015","Seasonal",0,2
"SS_QAQC","wtsndys","Post-2015","Sites",1,4
"SS_QAQC","wtsndys","Post-2015","Trend",0,1
"SS_QAQC","wtsndys","Pre-2015","Intercept",0,1
"SS_QAQC","wtsndys","Pre-2015","Seasonal",0,2
"SS_QAQC","wtsndys","Pre-2015","Sites",0,2
"SS_QAQC","wtsndys","Pre-2015","Trend",0,1
"SS_QAQC","wtsndys","Pre-2015-S1","Intercept",0,1
"SS_QAQC","wtsndys","Pre-2015-S1","Seasonal",0,2
"SS_QAQC","wtsndys","Pre-2015-S1","Sites",0,2
"SS_QAQC","wtsndys","Pre-2015-S1","Trend",0,1
"SS_QAQC","wtsndys","Pre-2015-S2","Intercept",1,1
"SS_QAQC","wtsndys","Pre-2015-S2","Seasonal",0,2
"SS_QAQC","wtsndys","Pre-2015-S2","Sites",0,2
"SS_QAQC","wtsndys","Pre-2015-S2","Trend",0,1
"SS_QAQC","wtsndys","Pre-2015-S3","Intercept",0,1
"SS_QAQC","wtsndys","Pre-2015-S3","Seasonal",0,2
"SS_QAQC","wtsndys","Pre-2015-S3","Sites",0,2
"SS_QAQC","wtsndys","Pre-2015-S3","Trend",0,1
