"analyte","NRM","scenario","parameter_groups","signif","no_terms"
"PP_QAQC","tully","Pre-2015-S3","Seasonal",0,2
"PP_QAQC","tully","Pre-2015-S3","Trend",0,1
"PP_QAQC","wtsndys","Post-2015","Intercept",1,1
"PP_QAQC","wtsndys","Post-2015","Seasonal",1,2
"PP_QAQC","wtsndys","Post-2015","Sites",2,4
"PP_QAQC","wtsndys","Post-2015","Trend",0,1
"PP_QAQC","wtsndys","Pre-2015","Intercept",1,1
"PP_QAQC","wtsndys","Pre-2015","Seasonal",0,2
"PP_QAQC","wtsndys","Pre-2015","Sites",0,2
"PP_QAQC","wtsndys","Pre-2015","Trend",1,1
"PP_QAQC","wtsndys","Pre-2015-S1","Intercept",1,1
"PP_QAQC","wtsndys","Pre-2015-S1","Seasonal",0,2
"PP_QAQC","wtsndys","Pre-2015-S1","Sites",0,2
"PP_QAQC","wtsndys","Pre-2015-S1","Trend",0,1
"PP_QAQC","wtsndys","Pre-2015-S2","Intercept",1,1
"PP_QAQC","wtsndys","Pre-2015-S2","Seasonal",0,2
"PP_QAQC","wtsndys","Pre-2015-S2","Sites",0,2
"PP_QAQC","wtsndys","Pre-2015-S2","Trend",0,1
"PP_QAQC","wtsndys","Pre-2015-S3","Intercept",1,1
"PP_QAQC","wtsndys","Pre-2015-S3","Seasonal",0,2
"PP_QAQC","wtsndys","Pre-2015-S3","Sites",0,2
"PP_QAQC","wtsndys","Pre-2015-S3","Trend",1,1
"SECCHI_DEPTH","burdekin","Post-2015","Intercept",2,2
"SECCHI_DEPTH","burdekin","Post-2015","Seasonal",0,2
"SECCHI_DEPTH","burdekin","Post-2015","Sites",5,5
"SECCHI_DEPTH","burdekin","Post-2015","Trend",0,1
"SECCHI_DEPTH","burdekin","Pre-2015","Intercept",1,1
"SECCHI_DEPTH","burdekin","Pre-2015","Seasonal",0,2
"SECCHI_DEPTH","burdekin","Pre-2015","Sites",1,2
"SECCHI_DEPTH","burdekin","Pre-2015","Trend",0,1
"SECCHI_DEPTH","burdekin","Pre-2015-S1","Intercept",1,1
"SECCHI_DEPTH","burdekin","Pre-2015-S1","Seasonal",0,2
"SECCHI_DEPTH","burdekin","Pre-2015-S1","Sites",1,2
"SECCHI_DEPTH","burdekin","Pre-2015-S1","Trend",0,1
"SECCHI_DEPTH","burdekin","Pre-2015-S2","Intercept",1,1
"SECCHI_DEPTH","burdekin","Pre-2015-S2","Seasonal",0,2
"SECCHI_DEPTH","burdekin","Pre-2015-S2","Sites",1,2
"SECCHI_DEPTH","burdekin","Pre-2015-S2","Trend",0,1
"SECCHI_DEPTH","burdekin","Pre-2015-S3","Intercept",1,1
"SECCHI_DEPTH","burdekin","Pre-2015-S3","Seasonal",0,2
"SECCHI_DEPTH","burdekin","Pre-2015-S3","Sites",1,2
"SECCHI_DEPTH","burdekin","Pre-2015-S3","Trend",0,1
"SECCHI_DEPTH","russ_mull","Post-2015","Intercept",2,2
"SECCHI_DEPTH","russ_mull","Post-2015","Seasonal",1,2
"SECCHI_DEPTH","russ_mull","Post-2015","Sites",1,4
"SECCHI_DEPTH","russ_mull","Post-2015","Trend",0,1
"SECCHI_DEPTH","russ_mull","Pre-2015","Intercept",1,1
"SECCHI_DEPTH","russ_mull","Pre-2015","Seasonal",0,2
"SECCHI_DEPTH","russ_mull","Pre-2015","Sites",1,2
"SECCHI_DEPTH","russ_mull","Pre-2015","Trend",0,1
"SECCHI_DEPTH","russ_mull","Pre-2015-S1","Intercept",1,1
"SECCHI_DEPTH","russ_mull","Pre-2015-S1","Seasonal",0,2
"SECCHI_DEPTH","russ_mull","Pre-2015-S1","Sites",0,2
"SECCHI_DEPTH","russ_mull","Pre-2015-S1","Trend",0,1
"SECCHI_DEPTH","russ_mull","Pre-2015-S2","Intercept",1,1
"SECCHI_DEPTH","russ_mull","Pre-2015-S2","Seasonal",0,2
"SECCHI_DEPTH","russ_mull","Pre-2015-S2","Sites",1,2
"SECCHI_DEPTH","russ_mull","Pre-2015-S2","Trend",0,1
"SECCHI_DEPTH","russ_mull","Pre-2015-S3","Intercept",1,1
"SECCHI_DEPTH","russ_mull","Pre-2015-S3","Seasonal",0,2
"SECCHI_DEPTH","russ_mull","Pre-2015-S3","Sites",0,2
"SECCHI_DEPTH","russ_mull","Pre-2015-S3","Trend",0,1
"SECCHI_DEPTH","tully","Post-2015","Intercept",2,2
"SECCHI_DEPTH","tully","Post-2015","Seasonal",1,2
"SECCHI_DEPTH","tully","Post-2015","Sites",5,5
"SECCHI_DEPTH","tully","Post-2015","Trend",0,1
"SECCHI_DEPTH","tully","Pre-2015","Intercept",1,1
"SECCHI_DEPTH","tully","Pre-2015","Seasonal",0,2
"SECCHI_DEPTH","tully","Pre-2015","Trend",0,1
"SECCHI_DEPTH","tully","Pre-2015-S1","Intercept",1,1
"SECCHI_DEPTH","tully","Pre-2015-S1","Seasonal",0,2
