"analyte","parameter","NRM","Estimate","Std..Error","t.value","Pr...t..","fdr_pval","sig_t_or_f","scenario","parameter_groups"
"SS_QAQC","Date_2","burdekin",-0.001273538670295,0.000370860185137693,-3.43401292813937,0.00200498334230447,0.0120299000538268,1,"Pre-2015-S1","Trend"
"SS_QAQC","SEAS_C1","burdekin",-0.378099101956961,0.33046148878501,-1.14415481013263,0.262984132390593,0.36289893970291,0,"Pre-2015-S1","Seasonal"
"SS_QAQC","SEAS_C2","burdekin",0.350834528094821,0.198171211944742,1.77036071310221,0.088393491464322,0.324498265068897,0,"Pre-2015-S1","Seasonal"
"SS_QAQC","(Intercept)","burdekin",-0.39162138127361,0.27069425170225,-1.44672958073884,0.156624400860032,0.626497603440127,0,"Pre-2015-S2","Intercept"
"SS_QAQC","SHORT_NAMEBUR2","burdekin",0.297432959045331,0.280039417071048,1.0621110490666,0.295258639818504,0.885775919455513,0,"Pre-2015-S2","Sites"
"SS_QAQC","SHORT_NAMEBUR4","burdekin",1.04007894566949,0.280054014744173,3.713851224806,0.000688544907281766,0.00413126944369059,1,"Pre-2015-S2","Sites"
"SS_QAQC","Date_2","burdekin",-0.000196943849476984,0.000234128335152609,-0.841179045452197,0.405800575369437,0.885775919455513,0,"Pre-2015-S2","Trend"
"SS_QAQC","SEAS_C1","burdekin",0.175629463257835,0.168469004505496,1.04250312259728,0.304129069161646,0.885775919455513,0,"Pre-2015-S2","Seasonal"
"SS_QAQC","SEAS_C2","burdekin",-0.510987277031703,0.162937279744894,-3.13609799937584,0.00340315251200285,0.0170157625600143,1,"Pre-2015-S2","Seasonal"
"SS_QAQC","(Intercept)","burdekin",-0.465570003101862,0.367795144926348,-1.26584053521178,0.213931588740867,1,0,"Pre-2015-S3","Intercept"
"SS_QAQC","SHORT_NAMEBUR2","burdekin",0.245820403148885,0.392041047837321,0.627027206729866,0.534710565679984,1,0,"Pre-2015-S3","Sites"
"SS_QAQC","SHORT_NAMEBUR4","burdekin",0.879436407219468,0.391955119775532,2.24371710649706,0.0312784638367575,0.187670783020545,0,"Pre-2015-S3","Sites"
"SS_QAQC","Date_2","burdekin",-6.50412072386098e-05,0.000337699427500302,-0.192600880967,0.848384784110267,1,0,"Pre-2015-S3","Trend"
"SS_QAQC","SEAS_C1","burdekin",-0.0176239323035399,0.251203643275886,-0.0701579486416297,0.944467280049403,1,0,"Pre-2015-S3","Seasonal"
"SS_QAQC","SEAS_C2","burdekin",-0.155397473357121,0.216153022086139,-0.718923436079432,0.476960807973926,1,0,"Pre-2015-S3","Seasonal"
"SS_QAQC","(Intercept)","burdekin",-0.268983756839921,0.187936611164549,-1.43124724434034,0.153791361594449,0.461374084783346,0,"Post-2015","Intercept"
"SS_QAQC","PROJECTMMP-JCU","burdekin",1.19388016209065,0.13784046338115,8.66131854758344,1.0537202055808e-15,1.0537202055808e-14,1,"Post-2015","Intercept"
"SS_QAQC","SHORT_NAMEBUR10","burdekin",-0.944741738994747,0.202377241970479,-4.66822123770497,5.30634770202023e-06,4.77571293181821e-05,1,"Post-2015","Sites"
